from_region,to_region,mobility_rate
LUX,PRT,0.007648
LUX,BIH,0.005204
LUX,AND,0.004213
LUX,CHE,0.005689
LUX,MLT,0.00429
LUX,HRV,0.003127
MLT,GRC,0.004816
MLT,LTU,0.00168
MLT,NLD,0.0016
MLT,ROU,0.001519
MLT,ALB,0.003357
MDA,MKD,0.003066
MDA,EST,0.007528
MDA,ROU,0.005823
MCO,NOR,0.001346
MCO,MKD,0.005956
MCO,PRT,0.001331
MCO,AUT,0.007457
MCO,MDA,0.007316
MCO,LUX,0.004122
MCO,ROU,0.004624
MCO,VAT,0.007657
MNE,BEL,0.002944
MNE,LUX,0.003113
MNE,ROU,0.003026
NLD,UKR,0.002153
NLD,POL,0.003113
NLD,CZE,0.003046
NLD,BIH,0.004033
MKD,PRT,0.003949
MKD,BEL,0.003763
MKD,GBR,0.001821
NOR,ROU,0.003902
NOR,IRL,0.003241
NOR,PRT,0.002288
NOR,SMR,0.006912
POL,UKR,0.00311
POL,SWE,0.007069
POL,ROU,0.001885
POL,AUT,0.006719
POL,MCO,0.007003
PRT,EST,0.006378
PRT,CHE,0.003042
PRT,MNE,0.006738
PRT,SWE,0.004188
PRT,ALB,0.004366
PRT,ROU,0.003445
ROU,MKD,0.003669
ROU,SRB,0.004664
ROU,BLR,0.003951
ROU,CHE,0.005079
ROU,PRT,0.00644
RUS,BIH,0.004475
RUS,DEU,0.003617
RUS,SVN,0.001253
RUS,BEL,0.006396
RUS,SRB,0.00572
RUS,LTU,0.006538
SMR,FRA,0.006806
SMR,ROU,0.001067
SMR,RUS,0.005243
SMR,BEL,0.00237
SRB,SVK,0.003599
SRB,GBR,0.007705
SRB,ESP,0.005685
SRB,AUT,0.002549
SRB,MNE,0.002197
SRB,SWE,0.001835
SVK,SVN,0.003019
SVK,BLR,0.00674
SVK,ESP,0.002332
SVK,GBR,0.001375
SVK,GRC,0.002617
SVK,ALB,0.003538
SVK,NLD,0.004415
SVN,BGR,0.007527
SVN,DNK,0.001389
SVN,LUX,0.007712
SVN,ITA,0.003126
SVN,NOR,0.007124
ESP,LVA,0.001161
ESP,UKR,0.007647
ESP,CZE,0.002263
ESP,ITA,0.005429
ESP,DNK,0.006952
SWE,LVA,0.003194
SWE,MKD,0.001064
SWE,SVN,0.002983
SWE,FRA,0.005578
SWE,ISL,0.0052
SWE,BGR,0.005892
CHE,HUN,0.007693
CHE,LUX,0.005195
CHE,BLR,0.006228
CHE,ALB,0.006326
CHE,SVK,0.005877
CHE,FRA,0.007754
CHE,NLD,0.005474
CHE,SRB,0.001957
UKR,FIN,0.003685
UKR,ITA,0.007864
UKR,NOR,0.001097
UKR,MNE,0.00479
UKR,SVN,0.001776
UKR,GBR,0.004935
UKR,BLR,0.003933
UKR,PRT,0.002341
GBR,ITA,0.003069
GBR,SWE,0.00152
GBR,MLT,0.006963
GBR,POL,0.00483
VAT,ROU,0.004348
VAT,HUN,0.002193
VAT,AUT,0.005557
VAT,BLR,0.006761
VAT,SMR,0.003018
VAT,MNE,0.001584
VAT,LVA,0.007392
AFG,LKA,0.006544
AFG,GEO,0.002967
AFG,BTN,0.006037
AFG,KHM,0.00109
AFG,MMR,0.002405
AFG,ARM,0.00123
AFG,SGP,0.005468
AFG,CYP,0.006238
ARM,MYS,0.004291
ARM,JOR,0.001337
ARM,KWT,0.004349
ARM,IDN,0.003354
ARM,OMN,0.004911
ARM,SYR,0.007537
ARM,IRN,0.003342
ARM,PAK,0.006835
AZE,NPL,0.00321
AZE,MNG,0.004813
AZE,BTN,0.001553
AZE,TWN,0.004239
AZE,PHL,0.004232
AZE,ARE,0.00517
BHR,ISR,0.004308
BHR,YEM,0.006366
BHR,BRN,0.007485
BHR,OMN,0.007084
BGD,LKA,0.006127
BGD,SYR,0.003172
BGD,KGZ,0.005007
BGD,NPL,0.001741
BTN,ARE,0.004615
BTN,LKA,0.00243
BTN,PAK,0.007435
BRN,JOR,0.002813
BRN,SYR,0.001949
BRN,BGD,0.004306
BRN,ARE,0.007371
BRN,AFG,0.003041
BRN,JPN,0.00241
BRN,BTN,0.006773
KHM,LAO,0.007543
KHM,BTN,0.006891
KHM,SGP,0.005564
KHM,GEO,0.003723
KHM,ARM,0.003182
KHM,ARE,0.001029
CHN,KOR,0.001362
CHN,SYR,0.005497
CHN,IRQ,0.002063
CHN,KGZ,0.006805
CHN,IDN,0.00338
GEO,BRN,0.00186
GEO,BGD,0.001893
GEO,KOR,0.004664
GEO,KAZ,0.007831
GEO,MNG,0.003619
GEO,JPN,0.006061
GEO,ARE,0.006883
GEO,NPL,0.007008
IND,PRK,0.005857
IND,TUR,0.001112
IND,PAK,0.006834
IND,PHL,0.004519
IND,IRQ,0.003782
IND,QAT,0.005349
IND,NPL,0.006519
IDN,KHM,0.007203
IDN,TWN,0.003315
IDN,JOR,0.004122
IDN,IND,0.005572
IDN,SYR,0.006084
IDN,MYS,0.001784
IRN,IDN,0.00728
IRN,GEO,0.006844
IRN,MYS,0.004336
IRN,TKM,0.002792
IRN,MDV,0.007332
IRN,TUR,0.00634
IRQ,LAO,0.006805
IRQ,TUR,0.005286
IRQ,BHR,0.003613
ISR,GEO,0.007684
ISR,MMR,0.004607
ISR,BTN,0.002383
ISR,UZB,0.00771
ISR,LBN,0.003987
ISR,AZE,0.003509
ISR,MYS,0.005599
ISR,QAT,0.005199
JPN,LBN,0.005451
JPN,AZE,0.00736
JPN,KGZ,0.006638
JPN,KWT,0.007938
JPN,TJK,0.003759
JPN,PHL,0.007514
JPN,AFG,0.002197
JPN,IRQ,0.004977
JOR,TUR,0.006869
JOR,CYP,0.006393
JOR,QAT,0.003741
KAZ,THA,0.002008
KAZ,MYS,0.00436
KAZ,SYR,0.004119
KAZ,JPN,0.003557
KAZ,YEM,0.00507
KAZ,BHR,0.005114
KWT,GEO,0.003968
KWT,KOR,0.0036
KWT,IDN,0.006581
KWT,THA,0.003719
KGZ,IRN,0.003414
KGZ,BRN,0.007399
KGZ,AFG,0.005162
KGZ,GEO,0.005324
KGZ,PAK,0.006676
KGZ,CYP,0.005892
KGZ,MNG,0.002265
LAO,SAU,0.001104
LAO,KAZ,0.006082
LAO,PAK,0.003363
LAO,ARM,0.006105
LBN,KHM,0.003895
LBN,MYS,0.007154
LBN,TWN,0.005288
MYS,LAO,0.005193
MYS,ISR,0.004019
MYS,OMN,0.003823
MYS,IDN,0.002722
MYS,JPN,0.002182
MDV,MMR,0.001112
MDV,CHN,0.004776
MDV,KWT,0.005555
MDV,JPN,0.004201
MNG,AZE,0.002038
MNG,SYR,0.003394
MNG,UZB,0.006223
MNG,PHL,0.00516
MNG,MYS,0.002882
MNG,GEO,0.001771
MNG,CYP,0.006819
MNG,IND,0.004833
MMR,AFG,0.002407
MMR,MDV,0.002024
MMR,IRN,0.003322
MMR,THA,0.002962
MMR,JOR,0.002339
NPL,SGP,0.00461
NPL,GEO,0.0032
NPL,TUR,0.004075
NPL,SAU,0.004355
NPL,CHN,0.003788
NPL,TWN,0.002154
PRK,AFG,0.007444
PRK,TUR,0.006649
PRK,IRQ,0.002914
PRK,LBN,0.007924
PRK,MDV,0.004512
PRK,VNM,0.005169
OMN,TKM,0.00668
OMN,ARM,0.004033
OMN,IND,0.004938
OMN,SGP,0.00664
PAK,AZE,0.001052
PAK,IRQ,0.00647
PAK,YEM,0.003281
PAK,BHR,0.003219
PAK,LKA,0.001047
PAK,ARE,0.006785
PAK,JPN,0.004322
PHL,NPL,0.004064
PHL,MNG,0.003984
PHL,IND,0.002938
PHL,GEO,0.005623
PHL,LBN,0.004713
PHL,MDV,0.004703
PHL,PAK,0.002858
PHL,JOR,0.00502
QAT,TWN,0.005487
QAT,OMN,0.007639
QAT,IRN,0.001159
QAT,AZE,0.007327
QAT,ARE,0.00191
QAT,KWT,0.005756
SAU,KHM,0.006173
SAU,IDN,0.001815
SAU,MMR,0.001896
SAU,LKA,0.006864
SAU,TKM,0.007779
SGP,IRQ,0.003083
SGP,JOR,0.003328
SGP,BHR,0.004182
SGP,GEO,0.006757
SGP,THA,0.007588
SGP,PHL,0.003954
KOR,NPL,0.00603
KOR,IRN,0.003014
KOR,BGD,0.00347
LKA,KOR,0.00588
LKA,LBN,0.00608
LKA,GEO,0.003504
LKA,MNG,0.005316
LKA,BRN,0.002833
LKA,OMN,0.003638
LKA,YEM,0.004869
SYR,MNG,0.00641
SYR,NPL,0.001475
SYR,CHN,0.007358
TWN,KGZ,0.006591
TWN,PAK,0.003032
TWN,BTN,0.007472
TWN,LAO,0.001984
TWN,SYR,0.003062
TWN,BGD,0.005446
TWN,KHM,0.006561
TWN,THA,0.004108
TJK,NPL,0.004857
TJK,SGP,0.004956
TJK,VNM,0.00785
THA,GEO,0.007239
THA,TKM,0.002413
THA,IDN,0.003525
TUR,LAO,0.003344
TUR,KAZ,0.003759
TUR,MMR,0.002293
TUR,MNG,0.003512
TUR,LBN,0.007607
TUR,UZB,0.002056
TKM,IDN,0.002254
TKM,CYP,0.006153
TKM,NPL,0.005004
TKM,QAT,0.00284
TKM,MNG,0.006633
TKM,TWN,0.006447
TKM,IRQ,0.007988
ARE,SGP,0.001764
ARE,KAZ,0.005383
ARE,TKM,0.004428
ARE,GEO,0.003843
ARE,CYP,0.004338
UZB,IDN,0.001758
UZB,OMN,0.00519
UZB,KWT,0.002836
UZB,CYP,0.00367
UZB,TKM,0.003955
UZB,PRK,0.002783
UZB,BRN,0.004831
UZB,SGP,0.006471
VNM,OMN,0.004544
VNM,PAK,0.004341
VNM,IRQ,0.002901
VNM,UZB,0.004352
VNM,SGP,0.002126
VNM,IDN,0.005088
VNM,SAU,0.001255
VNM,SYR,0.001963
YEM,THA,0.006599
YEM,KOR,0.006829
YEM,KAZ,0.006472
CYP,AFG,0.002422
CYP,SGP,0.001539
CYP,KAZ,0.003053
CYP,MDV,0.001187
CYP,PAK,0.002856
CYP,BHR,0.003532
DZA,COD,0.004344
DZA,BEN,0.003578
DZA,SSD,0.005918
AGO,NAM,0.00718
AGO,BEN,0.003103
AGO,CPV,0.005564
AGO,GIN,0.005164
AGO,COM,0.004921
AGO,ZWE,0.00291
BEN,STP,0.001866
BEN,CAF,0.004668
BEN,ETH,0.003801
BEN,MOZ,0.003132
BEN,GHA,0.006894
BWA,GHA,0.007086
BWA,MLI,0.005792
BWA,BFA,0.00117
BWA,MDG,0.004588
BWA,DJI,0.002264
BFA,CAF,0.003736
BFA,SWZ,0.005136
BFA,MDG,0.006959
BFA,MUS,0.0068
BFA,KEN,0.003657
BFA,GAB,0.001276
BFA,GNB,0.006036
BFA,SOM,0.007428
BDI,MWI,0.002048
BDI,DZA,0.005733
BDI,COD,0.005272
BDI,GNQ,0.005074
BDI,NGA,0.006623
BDI,SSD,0.001374
BDI,LBY,0.004569
CMR,SOM,0.002312
CMR,EGY,0.003834
CMR,BWA,0.001174
CMR,ZWE,0.002561
CMR,SWZ,0.003129
CPV,TCD,0.003869
CPV,LSO,0.005131
CPV,BWA,0.004968
CPV,ETH,0.006664
CAF,ZWE,0.003089
CAF,GAB,0.004034
CAF,GMB,0.00125
TCD,GNB,0.004696
TCD,UGA,0.006867
TCD,MOZ,0.005101
TCD,MDG,0.005703
TCD,MAR,0.001557
COM,LSO,0.00271
COM,TCD,0.006776
COM,LBR,0.004699
COM,GMB,0.00471
COM,GHA,0.005932
COD,MRT,0.004753
COD,SLE,0.005402
COD,CPV,0.007208
COD,SDN,0.005236
COD,BEN,0.004535
DJI,ZAF,0.002319
DJI,CMR,0.006018
DJI,BFA,0.001257
DJI,CIV,0.003408
DJI,ZWE,0.002274
EGY,ZMB,0.002384
EGY,GNQ,0.006884
EGY,CIV,0.007745
EGY,ERI,0.006722
EGY,TGO,0.004054
EGY,ETH,0.002462
GNQ,LBR,0.007097
GNQ,TZA,0.004987
GNQ,SLE,0.00134
GNQ,TGO,0.00295
GNQ,EGY,0.007214
GNQ,MUS,0.005386
GNQ,GHA,0.00512
GNQ,CIV,0.001147
ERI,BDI,0.004428
ERI,GIN,0.003359
ERI,MAR,0.003769
ERI,SWZ,0.001864
SWZ,MLI,0.007149
SWZ,SDN,0.003977
SWZ,LBY,0.003974
SWZ,GIN,0.003232
SWZ,NAM,0.00788
ETH,MLI,0.004843
ETH,LSO,0.002421
ETH,CMR,0.002503
ETH,TCD,0.003106
ETH,ZWE,0.006563
ETH,MUS,0.005166
GAB,DZA,0.00372
GAB,AGO,0.003811
GAB,BEN,0.004262
GMB,ERI,0.002029
GMB,TCD,0.005539
GMB,UGA,0.004897
GMB,GAB,0.006605
GMB,GNQ,0.00448
GMB,CIV,0.002655
GMB,BFA,0.003107
GMB,MUS,0.006172
GHA,UGA,0.003706
GHA,SDN,0.002655
GHA,BWA,0.002871
GIN,SOM,0.006242
GIN,ETH,0.006558
GIN,GAB,0.006447
GIN,NGA,0.006476
GIN,TUN,0.003788
GIN,MRT,0.007564
GIN,ZWE,0.005387
GNB,ZMB,0.006017
GNB,MOZ,0.007031
GNB,NGA,0.006537
GNB,TCD,0.00407
GNB,LSO,0.004127
GNB,NER,0.007564
GNB,CIV,0.001308
GNB,SOM,0.004529
CIV,GNQ,0.006515
CIV,SLE,0.002918
CIV,CAF,0.001625
CIV,GMB,0.005896
KEN,RWA,0.002082
KEN,CPV,0.001449
KEN,BFA,0.002807
KEN,CAF,0.004185
KEN,DZA,0.005522
KEN,ZMB,0.006603
KEN,MOZ,0.004042
LSO,BWA,0.006648
LSO,CAF,0.005082
LSO,COD,0.002853
LSO,ZWE,0.004282
LSO,UGA,0.002275
LSO,TGO,0.006507
LSO,SWZ,0.006654
LBR,GAB,0.007119
LBR,GIN,0.003865
LBR,MRT,0.007678
LBR,TZA,0.005323
LBR,BWA,0.002807
LBR,COM,0.006495
LBR,DJI,0.003199
LBR,BEN,0.001241
LBY,CPV,0.006255
LBY,GAB,0.001219
LBY,MOZ,0.007634
MDG,BWA,0.001286
MDG,SDN,0.004113
MDG,TCD,0.004172
MWI,GNQ,0.007965
MWI,EGY,0.002363
MWI,MUS,0.004507
MWI,AGO,0.004089
MWI,BWA,0.006815
MLI,CIV,0.005822
MLI,DJI,0.001231
MLI,MUS,0.00591
MRT,EGY,0.004552
MRT,SYC,0.004234
MRT,TGO,0.005092
MRT,AGO,0.003108
MRT,BEN,0.001784
MRT,CAF,0.002495
MRT,BDI,0.002024
MUS,BDI,0.005699
MUS,ZAF,0.005134
MUS,BEN,0.004827
MUS,STP,0.007112
MUS,CAF,0.006345
MUS,CPV,0.006197
MUS,TZA,0.001928
MUS,GNB,0.007262
MAR,GIN,0.00111
MAR,LSO,0.002759
MAR,NAM,0.007156
MAR,ZMB,0.004371
MAR,KEN,0.007264
MAR,BEN,0.001175
MAR,SSD,0.001216
MAR,GHA,0.004292
MOZ,LSO,0.001759
MOZ,CAF,0.005094
MOZ,BWA,0.00727
MOZ,LBY,0.004541
MOZ,MAR,0.004618
MOZ,COD,0.004213
NAM,SYC,0.002742
NAM,GAB,0.006414
NAM,SEN,0.007101
NAM,MDG,0.003938
NAM,CAF,0.004692
NAM,EGY,0.007107
NER,DJI,0.006642
NER,TZA,0.002584
NER,GIN,0.003252
NER,BWA,0.005492
NGA,LSO,0.006631
NGA,TCD,0.001817
NGA,SEN,0.002912
NGA,TUN,0.006091
RWA,GIN,0.007072
RWA,SOM,0.00503
RWA,DJI,0.005403
RWA,BFA,0.001587
STP,MOZ,0.002089
STP,CPV,0.007629
STP,SOM,0.003841
STP,DZA,0.002401
STP,BEN,0.006723
STP,MDG,0.004847
STP,SEN,0.006326
SEN,MAR,0.007169
SEN,DZA,0.003095
SEN,BFA,0.003828
SEN,RWA,0.001083
SEN,TUN,0.006389
SEN,GIN,0.007738
SEN,SSD,0.007736
SEN,TGO,0.001274
SYC,KEN,0.005216
SYC,ZMB,0.005978
SYC,STP,0.005878
SLE,AGO,0.005004
SLE,TUN,0.005723
SLE,ZWE,0.007907
SLE,MUS,0.006071
SLE,MRT,0.00536
SOM,AGO,0.006958
SOM,MWI,0.002131
SOM,BEN,0.005228
ZAF,EGY,0.004371
ZAF,LBR,0.007783
ZAF,GAB,0.003319
ZAF,LSO,0.004003
ZAF,SYC,0.001582
SSD,BWA,0.005776
SSD,COM,0.006973
SSD,MRT,0.005197
SDN,EGY,0.001115
SDN,BFA,0.001534
SDN,COD,0.005065
SDN,ZAF,0.001149
SDN,TUN,0.005837
SDN,COM,0.003545
SDN,NAM,0.006384
TZA,NGA,0.007996
TZA,COM,0.00196
TZA,GIN,0.00598
TGO,RWA,0.005798
TGO,SYC,0.005069
TGO,NGA,0.007617
TGO,CIV,0.003063
TGO,BFA,0.00647
TGO,MLI,0.001572
TGO,NAM,0.004438
TUN,AGO,0.004029
TUN,EGY,0.001048
TUN,DZA,0.003253
TUN,BDI,0.005529
TUN,KEN,0.002453
TUN,SDN,0.005495
TUN,MUS,0.007443
UGA,LBY,0.005391
UGA,CAF,0.001671
UGA,AGO,0.001687
UGA,TCD,0.002145
ZMB,ZAF,0.004786
ZMB,ERI,0.001172
ZMB,BEN,0.00768
ZMB,GMB,0.004668
ZMB,BDI,0.007483
ZMB,TGO,0.003067
ZMB,SWZ,0.002188
ZWE,SLE,0.003039
ZWE,KEN,0.003589
ZWE,BWA,0.005086
ZWE,MLI,0.005439
ZWE,COD,0.006383
ZWE,ZAF,0.002837
ZWE,SSD,0.001307
ZWE,NAM,0.004131
ARG,URY,0.004481
ARG,BOL,0.006851
ARG,ECU,0.003912
ARG,MEX,0.001417
ARG,SLV,0.006846
ARG,JAM,0.002299
ARG,LCA,0.003862
BHS,CHL,0.004553
BHS,VCT,0.006768
BHS,BRB,0.00528
BHS,TTO,0.004146
BHS,CRI,0.003043
BRB,ECU,0.002855
BRB,PRY,0.007111
BRB,MEX,0.007209
BRB,KNA,0.001932
BRB,GTM,0.007997
BRB,VCT,0.001971
BRB,DMA,0.006254
BRB,ARG,0.002459
BLZ,BOL,0.002436
BLZ,SLV,0.001929
BLZ,BRA,0.003479
BOL,MEX,0.005846
BOL,PER,0.007355
BOL,ARG,0.006467
BOL,BHS,0.002676
BRA,PER,0.003435
BRA,DOM,0.006163
BRA,SLV,0.00564
BRA,GRD,0.001861
BRA,URY,0.001649
BRA,CAN,0.00693
BRA,HTI,0.001837
BRA,CHL,0.004765
CAN,SUR,0.007822
CAN,MEX,0.006079
CAN,TTO,0.002691
CAN,CUB,0.005669
CAN,BRA,0.007034
CAN,ECU,0.005008
CHL,JAM,0.006753
CHL,CAN,0.002721
CHL,USA,0.006058
CHL,BRB,0.004206
COL,HND,0.00751
COL,CHL,0.004805
COL,NIC,0.007597
COL,CAN,0.001336
COL,GUY,0.005246
COL,ECU,0.001015
COL,BHS,0.001147
CRI,VCT,0.00542
CRI,HND,0.006803
CRI,COL,0.003637
CRI,SUR,0.003893
CRI,CHL,0.007674
CRI,CAN,0.002466
CRI,PER,0.002709
CRI,ECU,0.00293
CUB,LCA,0.003652
CUB,HTI,0.007205
CUB,CHL,0.004234
CUB,NIC,0.006947
CUB,URY,0.004069
CUB,HND,0.001344
DMA,SLV,0.007925
DMA,ARG,0.005334
DMA,CUB,0.005184
DMA,USA,0.006891
DMA,PAN,0.001047
DMA,DOM,0.007559
DOM,USA,0.00629
DOM,ECU,0.00387
DOM,BRB,0.005827
DOM,SLV,0.003905
ECU,BRA,0.006065
ECU,CRI,0.002532
ECU,DMA,0.007769
SLV,LCA,0.007811
SLV,PER,0.00765
SLV,USA,0.004118
SLV,JAM,0.002033
GRD,COL,0.002895
GRD,DOM,0.007226
GRD,ARG,0.001846
GRD,GTM,0.005253
GRD,NIC,0.004029
GTM,NIC,0.005092
GTM,CAN,0.005196
GTM,CRI,0.003641
GTM,JAM,0.00579
GTM,PAN,0.006783
GTM,LCA,0.002482
GTM,USA,0.002572
GUY,ECU,0.003878
GUY,CUB,0.007342
GUY,VEN,0.007199
GUY,SLV,0.001722
GUY,CHL,0.005161
GUY,SUR,0.004157
GUY,BOL,0.004277
GUY,PRY,0.00581
HTI,GRD,0.007083
HTI,SLV,0.00126
HTI,TTO,0.004979
HTI,PER,0.004479
HTI,COL,0.006511
HTI,GTM,0.006027
HND,COL,0.004816
HND,DOM,0.005803
HND,PAN,0.001445
HND,CRI,0.001865
HND,BRB,0.001247
HND,VCT,0.002232
HND,GUY,0.007373
HND,CUB,0.001467
JAM,PRY,0.00759
JAM,BHS,0.002298
JAM,PER,0.001915
JAM,GTM,0.002663
JAM,BLZ,0.006506
JAM,URY,0.005276
JAM,HTI,0.006788
MEX,VEN,0.005786
MEX,SLV,0.005665
MEX,USA,0.006852
MEX,LCA,0.001736
NIC,KNA,0.003511
NIC,GRD,0.001896
NIC,BOL,0.004541
NIC,HTI,0.001909
NIC,CAN,0.00256
NIC,BRA,0.00639
PAN,COL,0.00534
PAN,TTO,0.001094
PAN,GTM,0.002479
PAN,BRB,0.007196
PAN,CRI,0.002961
PAN,MEX,0.001501
PAN,BRA,0.00175
PAN,URY,0.003965
PRY,DOM,0.004542
PRY,KNA,0.005441
PRY,BRB,0.00512
PRY,CHL,0.001118
PRY,CAN,0.001524
PRY,JAM,0.003272
PER,PAN,0.002475
PER,USA,0.002809
PER,CHL,0.005593
PER,BRB,0.002741
PER,SLV,0.001008
PER,SUR,0.002168
PER,ECU,0.006981
PER,TTO,0.003336
KNA,PAN,0.007564
KNA,LCA,0.004185
KNA,CAN,0.005523
KNA,GRD,0.005941
LCA,SLV,0.006398
LCA,PAN,0.004313
LCA,PRY,0.006029
LCA,CRI,0.001546
LCA,CHL,0.001893
LCA,DOM,0.007294
VCT,CRI,0.00663
VCT,LCA,0.001528
VCT,BHS,0.001049
VCT,GTM,0.00642
VCT,KNA,0.006689
VCT,BOL,0.004034
SUR,USA,0.004522
SUR,NIC,0.007369
SUR,BRB,0.004075
SUR,TTO,0.003074
SUR,CRI,0.006329
SUR,URY,0.004004
TTO,MEX,0.001192
TTO,GTM,0.001938
TTO,LCA,0.006227
TTO,BRB,0.002286
TTO,BLZ,0.00402
TTO,GRD,0.007844
TTO,URY,0.00514
USA,JAM,0.005218
USA,BOL,0.006184
USA,SLV,0.003722
USA,CUB,0.006405
USA,BHS,0.006496
URY,SLV,0.004703
URY,GUY,0.004962
URY,TTO,0.002429
URY,USA,0.001621
VEN,BLZ,0.00525
VEN,SUR,0.001476
VEN,GTM,0.006779
VEN,BOL,0.007883
VEN,HTI,0.00675
VEN,CRI,0.006855
AUS,PLW,0.003811
AUS,TON,0.001815
AUS,KIR,0.007351
AUS,TUV,0.0071
AUS,FJI,0.002333
AUS,NRU,0.002324
AUS,SLB,0.004253
AUS,NZL,0.004072
FJI,NRU,0.002096
FJI,TUV,0.001742
FJI,NZL,0.007667
FJI,TON,0.006786
FJI,AUS,0.003698
KIR,NRU,0.001389
KIR,WSM,0.005608
KIR,VUT,0.001172
KIR,TON,0.001573
KIR,PNG,0.006512
KIR,TUV,0.007755
MHL,TON,0.004644
MHL,NRU,0.002881
MHL,TUV,0.003372
MHL,SLB,0.003097
MHL,KIR,0.00483
MHL,VUT,0.006843
FSM,PLW,0.00628
FSM,AUS,0.003391
FSM,FJI,0.006749
FSM,TON,0.00318
FSM,NRU,0.006958
FSM,NZL,0.003687
FSM,KIR,0.002394
FSM,TUV,0.001872
NRU,FSM,0.002885
NRU,TON,0.00188
NRU,VUT,0.00658
NRU,NZL,0.001278
NRU,MHL,0.003585
NRU,SLB,0.005944
NRU,TUV,0.002756
NRU,PNG,0.006199
NZL,PLW,0.004902
NZL,AUS,0.003318
NZL,SLB,0.002489
NZL,VUT,0.007011
PLW,TUV,0.001101
PLW,NZL,0.006016
PLW,FSM,0.004809
PLW,NRU,0.002435
PLW,SLB,0.005318
PLW,TON,0.004602
PLW,MHL,0.00558
PNG,PLW,0.005725
PNG,TUV,0.006135
PNG,TON,0.005419
PNG,VUT,0.002508
WSM,TUV,0.007361
WSM,TON,0.001492
WSM,KIR,0.007025
WSM,NZL,0.006913
WSM,MHL,0.004499
WSM,AUS,0.00655
WSM,NRU,0.00646
WSM,SLB,0.005812
SLB,PNG,0.002616
SLB,TUV,0.007079
SLB,WSM,0.002558
SLB,VUT,0.001023
SLB,FJI,0.003412
SLB,MHL,0.002702
TON,PLW,0.005114
TON,KIR,0.007091
TON,FJI,0.003549
TON,AUS,0.005971
TUV,MHL,0.00393
TUV,PNG,0.006682
TUV,VUT,0.005159
TUV,WSM,0.002112
TUV,KIR,0.007167
VUT,TON,0.00758
VUT,PNG,0.001673
VUT,SLB,0.006267
VUT,AUS,0.00454
VUT,KIR,0.005688
VUT,PLW,0.007065
VUT,WSM,0.003726
VUT,FSM,0.006922
MDA,KNA,0.000288
LBR,BLR,0.001488
VEN,MMR,0.000329
ISR,BRB,0.000212
BIH,SLB,0.001894
CYP,SSD,0.001251
SVK,WSM,0.001327
